Category,Item Name,Price,Unit/Notes
Ecuadorian Roses,Queens Crown,Market Price,Light Pink
Ecuadorian Roses,Amsterdam,Market Price,Coral
Ecuadorian Roses,Kahala,Market Price,Coral
Ecuadorian Roses,Shimmer,Market Price,Coral
Ecuadorian Roses,Deep Purple,Market Price,Lavender
Ecuadorian Roses,Oceansong,Market Price,Lavender
Ecuadorian Roses,Wasabi,Market Price,Green
Ecuadorian Roses,Phoenix,Market Price,Peach
Ecuadorian Roses,Tiffany,Market Price,Peach
Ecuadorian Roses,Blue Mondial,Market Price,Blue
Ecuadorian Roses,Black tinted,Market Price,Tinted
Ecuadorian Roses,Country Blues (Phoenix rose),Market Price,Other
Ecuadorian Roses,Frutteto,Market Price,Other
Ecuadorian Roses,Mother of pearl,Market Price,Other
Ecuadorian Roses,Mandarin Xpression,Market Price,Other
Ecuadorian Roses,Rosita Vendela,Market Price,Other
Ecuadorian Roses,Sweet Avalanche,Market Price,Other
Ecuadorian Roses,Nena,Market Price,Other
Plants,6" Spoth,$12.00,Each
Plants,8" Spoth big,$23.00,Each
Plants,White Fawl Orchid,$21.00,Each
Plants,Anthurium (Red),$23.00,Each
Succulents,2" Succulents,$2.00,Each
Succulents,4" Succulents,$3.00,Each
Succulents,6" Succulents,$7.50,Each
Branches,Curly Willow Medium,$9.00,per bunch
Branches,Curly Willow Tip,$4.00,per bunch
